model,auc,params
LogisticRegression,0.6689554917207045,"{'maxIter': [0], 'regParam': [0.0344856727524965], 'model': ['LogisticRegression']}"
LogisticRegression,0.6690445086018212,"{'maxIter': [1], 'regParam': [0.07885138557912744], 'model': ['LogisticRegression']}"
LogisticRegression,0.6690493464757944,"{'maxIter': [0], 'regParam': [0.06499735998580998], 'model': ['LogisticRegression']}"
LogisticRegression,0.6690251571059266,"{'maxIter': [1], 'regParam': [0.07118300330947036], 'model': ['LogisticRegression']}"
LogisticRegression,0.6688964696582246,"{'maxIter': [1], 'regParam': [0.0033508241542963614], 'model': ['LogisticRegression']}"
LogisticRegression,0.668895502083431,"{'maxIter': [2], 'regParam': [0.018850183719452986], 'model': ['LogisticRegression']}"
LogisticRegression,0.6689196914532983,"{'maxIter': [2], 'regParam': [0.0019757889436243016], 'model': ['LogisticRegression']}"
LogisticRegression,0.6688664748395885,"{'maxIter': [1], 'regParam': [0.010900232751808393], 'model': ['LogisticRegression']}"
LogisticRegression,0.6689390429491943,"{'maxIter': [1], 'regParam': [0.02442040869830835], 'model': ['LogisticRegression']}"
LogisticRegression,0.6690464437514105,"{'maxIter': [0], 'regParam': [0.06691604734709013], 'model': ['LogisticRegression']}"
GBTClassifier,0.6750912866503215,"{'maxDepth': [1], 'maxIter': [1], 'stepSize': [0.05148149097199994], 'model': ['GBTClassifier']}"
GBTClassifier,0.6306906500506123,"{'maxDepth': [2], 'maxIter': [0], 'stepSize': [0.07908497691470316], 'model': ['GBTClassifier']}"
GBTClassifier,0.6784199858379313,"{'maxDepth': [1], 'maxIter': [1], 'stepSize': [0.06127359146459434], 'model': ['GBTClassifier']}"
GBTClassifier,0.6762461677990786,"{'maxDepth': [1], 'maxIter': [1], 'stepSize': [0.07705430585523126], 'model': ['GBTClassifier']}"
GBTClassifier,0.6399708211694408,"{'maxDepth': [2], 'maxIter': [1], 'stepSize': [0.1338598072196286], 'model': ['GBTClassifier']}"
GBTClassifier,0.7212609724997514,"{'maxDepth': [0], 'maxIter': [0], 'stepSize': [0.14242592059564949], 'model': ['GBTClassifier']}"
GBTClassifier,0.6426693066407404,"{'maxDepth': [2], 'maxIter': [2], 'stepSize': [0.08151150589926394], 'model': ['GBTClassifier']}"
GBTClassifier,0.6378558639306016,"{'maxDepth': [2], 'maxIter': [1], 'stepSize': [0.19182698600888226], 'model': ['GBTClassifier']}"
GBTClassifier,0.6757392392378686,"{'maxDepth': [1], 'maxIter': [1], 'stepSize': [0.0935986300791376], 'model': ['GBTClassifier']}"
GBTClassifier,0.7195953731218364,"{'maxDepth': [0], 'maxIter': [0], 'stepSize': [0.05425059844553874], 'model': ['GBTClassifier']}"
RandomForest,0.6935098791805486,"{'featureSubsetStrategy': [0], 'maxDepth': [2], 'numTrees': [0], 'model': ['RandomForest']}"
RandomForest,0.7165321119529201,"{'featureSubsetStrategy': [2], 'maxDepth': [2], 'numTrees': [1], 'model': ['RandomForest']}"
RandomForest,0.7241000788412205,"{'featureSubsetStrategy': [2], 'maxDepth': [0], 'numTrees': [2], 'model': ['RandomForest']}"
RandomForest,0.7221278388846077,"{'featureSubsetStrategy': [0], 'maxDepth': [2], 'numTrees': [1], 'model': ['RandomForest']}"
RandomForest,0.7303916533127915,"{'featureSubsetStrategy': [2], 'maxDepth': [1], 'numTrees': [1], 'model': ['RandomForest']}"
RandomForest,0.7214083663934829,"{'featureSubsetStrategy': [0], 'maxDepth': [0], 'numTrees': [1], 'model': ['RandomForest']}"
RandomForest,0.7221278388846077,"{'featureSubsetStrategy': [0], 'maxDepth': [2], 'numTrees': [1], 'model': ['RandomForest']}"
RandomForest,0.7137814580739367,"{'featureSubsetStrategy': [1], 'maxDepth': [1], 'numTrees': [0], 'model': ['RandomForest']}"
RandomForest,0.7241000788412205,"{'featureSubsetStrategy': [2], 'maxDepth': [0], 'numTrees': [2], 'model': ['RandomForest']}"
RandomForest,0.717851158291851,"{'featureSubsetStrategy': [0], 'maxDepth': [1], 'numTrees': [0], 'model': ['RandomForest']}"
